commentaire,label
"Franchement, je me suis arrêté au chapitre 1. Lier psychologie et croyance religieuse est une erreur monumentale.Selon cette femme, nous choisissons nos familles et nous nous reircarnons pour répéter les schémas de nos vies antérieures. Jusque là c'est une croyance acceptable. Jusqu'à ce qu'elle nous demande de nous dire qu'inconsciemment nous avons choisi nos familles et qu'indirectement en choisissant des pères qui nous violerons par exemple ou autres toxicités, nous l'avons choisi dans le but de nous guérir de nos autres vies similaires durant le vécu de l'actuel.Si cette croyance était populaire, ne reviendrait-elle pas à refuser le témoignage des victimes d'incestes parce que leur âme ont choisi cette famille ? Ne dirait-on pas ""c'est votre choix alors guérissez et c'est tout""Nous sommes responsables de nos choix et de ce que nous devenons mais nous ne sommes pas responsables de ce que nous avons subi.Alors oui les gens doivent se sentir mieux en lisant ce bouquin parce que le but rest l'acceptation de soi. Mais accepter ce dont on est pas responsable même si on se sent plus heureux après est un fourvoiement.Je ne conseille pas ce livre.",1
Un livre à l'américaine qui fait très secte ! On pourrait croire que l'auteure a copié collé le même texte à la fin de presque tous les chapitres !,1
"Un peu déçue...Lise Bourbeau décrit les ""5 blessures"" à partir du physique des gens et de leur vie antérieure (car elle est convaincu que la réincarnation existe). Tu es maigre ? Alors tu as un sentiment de rejet.Elle explique ses théories, sans ""preuves"" avec des arguments qui sont tirés par les cheveux selon mon avis.Je ne recommande pas",2
Le contenu de ce livre est complètement délirant. Je ne vois pas comment il peut avoir autant de commentaires positifs.,1
"J'ai trouvé le thème du livre intéressant mais je n'ai pas réussi à rentrer dedans. Je ne suis pas convaincue par ce qu'affirme l'auteure, les descriptions restent très larges, un peu à la manière des horoscopes. Les solutions ne sont pas très détaillées.",1
"Livre intéressant pour quelques lignes disséminées dans l'ensemble de l'ouvrage et qui décrivent les différents profils.Pour le reste, ce type de livre est à fuire!Rien ne justifie les affirmations grotesques de l'auteur, comme affirmer que toutes les personnes humiliées sont en surpoids, ou que toutes les personnes rejetées ont de petits yeux enfoncés dans leurs orbites! J'ai cru lire un ouvrage sur la phrénologie!Aucune base scientifique si ce n'est les ""nombreuses observations"" de l'auteur et un ensemble disparate de lieux communs et de généralités. Je déconseille!",1
"Apparement , l'idées des Blessures évoquées ne sont même pas de l'auteure mais d'un psychanalyste américain. Ensuite, même si l'idée de base est bonne, attribuer des physiques ou des problèmes de santé en fonction du type de blessure que l'on a subit relève plus (selon moi) du charlatanisme que du réel développement personnel. C'est la première fois de ma vie que je jette un livre à la poubelle. Je ne me suis pas rendu à la deuxième blessure.",1
"Je suis déçu qu'Amazon ait mis ce livre comme un best seller quant on lit les controverses de l'auteur qui mélange psychologie et religieux...D'ailleurs un rapport de commission d'enquête du 05/12/2012 ""Dérives thérapeutiques et dérives sectaires : la santé en danger"" met en garde contre cette personne.Un extrait de cette personne qui parle de l'Alzeihmer : ""Cette maladie est un moyen utilisé pour fuir la réalité du présent. La personne atteinte de cette maladie a été souvent du genre à s'occuper des autres. Elle utilisait beaucoup sa mémoire pour effectuer les tâches du quotidien, s'immergeant dans celles-ci pour essayer d'oublier les incidents du passé qui l'ont fait souffrir...""Abject. Je vous passe son opinion sur le cancer du sein...Merci à Amazon de revoir leurs algorithmes à ce niveau car chercher un bouquin de psychologie et finir sur un ouvrage de mauvaise foi mélangeant tout... j'ai dû jeter ce livre qui peut davantage nuir que guérir.",1
"✅J'ai apprécié la lecture et je m'y suis reconnue à de nombreux passages. Cependant...❌ Le côté spirituel voire religieux me dérange beaucoup. Ça parle de vie antérieure, de Dieu (même s'il fait rapport à notre vrai MOI), de vie sur terre, etc. Les blessures seraient la avant notre naissance et notre âme viendrait sur terre pour régler ses blessures. Bon. Ce qui m'intéressait à l'achat c'était le côté psychologique, scientifique, et la je trouvais que ça partais un peu loin pour moi dans le spirituel. C'est dommage car le fond était vraiment intéressant et crédible (les 5 blessures, les comportements, les formes du corps, etc). Je voulais voir d'autres de ses ouvrages mais je vois que c'est dans le même chemin et qu'elle y mentionne même Jésus (écoute ton corps) Je n'ai absolument rien contre la religion, mais ce n'est pas ce que je recherche,et cela devrait être plus explicite dans le descriptif.Pour terminer, je ne vois pas comment ce livre peu aider quiconque, il n'y a pas de solutions dans ce livre. La pub pour ses autres livres et ses formations n'ont rien faire aussi la dedans.Je ne conseille pas.",3
"Franchement je lis beaucoup j'adore ça et ayant un problème d'estime de moi qui m'empêche de me lancer et d'avancer professionnellement, j'ai voulu savoir d'où  cela pouvait venir et comment pallier à ce problème car je trouve que je ne m'impose pas, que je me met beaucoup en retrait et je n'ose pas me lancer de peur d'échouer ce qui me joue des tours. Sur le moment je l'ai trouvé très intéressant mais après coup je me suis senti très mal. Je trouve que le livre choisit ses mots et ses situations afin que nous puissions nous identifier à lui et nous rendre modulable sur notre propre conduite et notre conduite avec notre entourage. J'ai l'impression que le livre dirige notre façon de voir les choses et pas du tout dans le bon sens. Je me suis senti coupé du monde réel (blessures lié au physique, âme, réincarnation, c'est nous qui choisissons nos familles qui peuvent nous faire du mal par la réincarnation...).  Vraiment trop bizarre. Je ne le conseille pas surtout pour les personnes qui se sentent très mal et qui sont en quête d'identité. Je trouve la pensée du livre sectaire et dangereuse.",2
