commentaire,label
"Lise Bourbeau, l'auteur de ces Cinq blessures qui empêchent d'être soi-même, a des convictions polémiques, notamment celles sur la réincarnation des âmes ou les maladies causées par les blessures mentales.En outre, son écriture m'a semblé par moments pesante et poussive...Pourtant, son livre m'a appris et apporté beaucoup de choses, et même aidé à mieux comprendre certains de mes fonctionnements.Le propos en est très simple; il existe cinq blessures fondamentales dont nous souffrons : le rejet, l'abandon, l'humiliation, la trahison et l'injustice.Ce n'est pas la réalité des faits qui définit la blessure ressentie, mais plus notre construction mentale : ainsi, une personne souffrant d'humiliation se sentira humiliée si son partenaire l'abandonne ou si son patron lui fait subir une injustice...Pour éviter de souffrir, nous nous construisons des masques, un pour chacune des blessures : le fuyant, le dépendant, le masochiste, le contrôlant, le rigide.Nous les portons plus ou moins souvent, en fonction de la gravité de nos blessures, mais dans tous les cas notre corps et notre comportement en sont marqués.Schématiquement, la personne souffrant d'humiliation, qui porte le masque de masochiste, aura tendance à s'habiller de vêtements qui ne l'avantagent pas et à se tacher en mangeant...La solution selon Lise Bourbeau, c'est de comprendre quels sont nos blessures, de pardonner à ceux qui nous ont blessés, mais aussi à nous-mêmes de leur en avoir voulu... et d'apprendre à s'aimer, à retirer ses masques pour devenir soi-même. Pas sûr que ce livre y suffise, mais il peut peut-être y contribuer.",4
"Ce livre est une révélation. Je n’au Jamais pu croire que l’aspect physique pouvait à se point être le reflet de nos blessures...et pourtant, je lis la blessure qui correspond à mon physique et j’ai L’impression qu’elle parle de moi !",5
"livre parfait pour commencer à se connaître et à identifier les blessures qui nous font souffrir à un prix abordable. Clair et explicite il est à lire et à relire. seul bémol, peut-être un peu léger sur la guérison de ces blessures mais l'auteur a fait un autre livre à ce sujet il ne souhaitait donc stratégiquement pas tout dévoiler....",5
"Si effectivement vous n’avez aucune connaissance sur le concept du Karma ni des vies antérieures, vous allez vous sentir tenu pour responsable d’un point de vu négatif. Vous n’allez pas saisir la puissance du livre.Si vous maîtrisez un minimum ce sujet, vous pouvez le lire sans crainte. Sautez dessus même.Il est d’une extrême puissance et fait réaliser et Rémonter des choses jusque là nier.Effectivement l’ego est vraiment défensif face à de telles vérités.Vous verrez facilement pour les autres au début.Vous pouvez ne pas vous sentir concerné en le lisant... a cause de l’ego défensif... mais il n’est que rarement possible que vous reveniez vous réincarner, si vous n’avez pas une blessure spécifique à régler.Il faut dissocier ce que vous pouvez reproduire ou chercher inconsciemment, de l’absence de culpabilité des atrocités qu’on peut avoir vécues biensur. Mais si vous comprenez le principe karmique, vous comprendriez que toute dette est payé et que la guérison ne passe que par vous et non pas ceux qui vous ont causé du tort.",4
"Alors ok il est vrai que je me suis reconnue dans certains masques et qu’ainsi ce livre aide à ce rendre compte de certaine choses.Cependant je trouve que l’auteur mélange tout, on ne sait plus quelle blessure on a vécue, quel masque nous décrit vraiment et qu’est-ce-que l’on doit faire pour s’améliorer à la fin du livre ! Et surtout je ne parlerai pas de blessures mais plutôt de fausses croyances nées dans l’enfance, il ne faut pas non plus tout dramatiser, à la fin du livre on est encore plus malheureux qu’au début, la prise de conscience fait mal et n’aide pas vraiment ici...!",4
"une formidable découverte sur soi, perturbant parfois mais vaut vraiment le coup.permet de comprendre beaucoup de choses et de guérir ces fameuses blessures",5
"Je l'ai lu en 1 journée, tellement la lecture est fluide et agréable. Très digeste et m'a permis d'en apprendre énormément sur moi même. Les termes utilisés sont clairement expliqués au début du livre et cohérent avec l'approche de l'auteur. Ce qui fait qu'une personne croyante peu importe sa confession ne se sentira pas offusqué. Je vous le recommande vraiment, c'est un excellent rapport qualité prix.",5
"Colis arrivé rapidement et livre en bon état. Pas d’écornures à déplorer, merci ! Ce livre est une petite merveille, mais attention après cette lecture vous serez obligé de mieux vous connaitre et donc de passer à l'action pour améliorer votre état émotionnel. Plus d’excuses... mince ;)",5
"J'ai bien aimé le concept du titre et le développement ne déçoit pas bien qu'à mon stade je n'est rien appris de complètement nouveau mais j'ai pu faire le point et j'ai obtenu deq confirmations sur ma progression déjà bien avancée dans ce domaine. Par contre je prêterai ce livre avec plaisir aux amis qui en auront besoin car il les conseils qu'il contient sont clairs et tout à fait réalistes sur le moyen ou le long terme. Car la démarche pour aller mieux est un long cheminement sans coup de baguette magique. Mais on peut compter sur un résultat je pense.À posséder à son chevet, et à consulter quotidiennement.En effet : aller bien est l'œuvre d'une vie.et est la seule tâche qui vaille la peine de s'investir sérieusement et passionnément. Tout le reste est parfaitement futile et périssable.""Aller bien"" et être en paix avec soi, son histoire, ses choix et sa propre perqonnalité n'a pas de prix, hormis celui de l'effort, avec l'Amour de la Vie Elle-même.Et n'oubliez pas de remercier tout le temps la Vie (ou l'Univers, ou Dieu ou son Guide intérieur...) afin d'obtenir de l'aide en permanence. C'est là le ""secret"". Auquel cas, ce livre ne vous servirait à rien.Enjoy Life and love it.",5
Un livre décrivant les caractéristiques physiques liés aux blessures émotionnelles dominant chez un individu. L'auteur donne également les remèdes.... Intéressant comme approche...on devient plus observateur ...après à ne pas prendre au pied de la lettre mais c'est intéressant.,4
